date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:53	1109/1109	---M-Z	200	added ('OK')	image/svg+xml	etag:%22455-592b3508382e3-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/areas/d1f176549bafc7534bb0b5defc2ba99f.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/areas/d1f176549bafc7534bb0b5defc2ba99f.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:53	1005/1005	---M-Z	200	added ('OK')	image/svg+xml	etag:%223ed-592b350480047-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/areas/8519eb56b0cb937bd2edfca90b933e22.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/areas/8519eb56b0cb937bd2edfca90b933e22.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:54	2344/2344	---M-Z	200	added ('OK')	image/svg+xml	etag:%22928-592b350a61e65-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/areas/f7b2ffbde6a10dead3ac2a8958552903.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/areas/f7b2ffbde6a10dead3ac2a8958552903.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:54	1168/1168	---M-Z	200	added ('OK')	image/svg+xml	etag:%22490-592b350abfa6b-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/areas/fec823f70841119e7b07de4925844149.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/areas/fec823f70841119e7b07de4925844149.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:54	2242/2242	---M-Z	200	added ('OK')	image/svg+xml	etag:%228c2-592b3501f3a9d-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/areas/45dbaf73523ac19f6d12601b4873235f.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/areas/45dbaf73523ac19f6d12601b4873235f.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:54	1146/1146	---M-Z	200	added ('OK')	image/svg+xml	etag:%2247a-592b3504ddc4c-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/areas/8d442ffd5b0e35bb149be6e66dc7898f.svg	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/areas/8d442ffd5b0e35bb149be6e66dc7898f.svg	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:55	469891/469891	---MCZ	200	added ('OK')	image/png	etag:%2272b83-595fbc8f88cac-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/prana_building_elevation.png	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/prana_building_elevation.png	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:56	317557/317557	---MCZ	200	added ('OK')	image/png	etag:%224d875-592b357cc4948-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/photos/77d2dd5dbadb75a2e972ae75151c21bd.png	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/photos/77d2dd5dbadb75a2e972ae75151c21bd.png	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:56	230460/230460	---MCZ	200	added ('OK')	image/png	etag:%223843c-592b359401df9-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/photos/d060073a496aaa85466dab452a3625c5.png	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/photos/d060073a496aaa85466dab452a3625c5.png	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:59	243942/243942	---MCZ	200	added ('OK')	image/png	etag:%223b8e6-592b3591a84ea-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/photos/c9f901cf1cfac96db789aa97acfed2cb.png	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/photos/c9f901cf1cfac96db789aa97acfed2cb.png	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:59	222845/222845	---MCZ	200	added ('OK')	image/png	etag:%223667d-592b356e5c0bc-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/photos/62b0c408514a4ff8ceaeb1d6a6f03029.png	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/photos/62b0c408514a4ff8ceaeb1d6a6f03029.png	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:59	212612/212612	---MCZ	200	added ('OK')	image/png	etag:%2233e84-592b3581eaf5c-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/photos/92be380afbe88fed7b614faa5c1eba03.png	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/photos/92be380afbe88fed7b614faa5c1eba03.png	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:49:59	235526/235526	---MCZ	200	added ('OK')	image/png	etag:%2239806-592b3561540e7-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/photos/12c04307480930fa5f1deee858c2013e.png	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/photos/12c04307480930fa5f1deee858c2013e.png	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:50:02	154164/154164	---MCZ	200	added ('OK')	image/png	etag:%2225a34-592b354bc56a9-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/models/716246b68f25d3fd82cd0b0aba98d87d.png	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/models/716246b68f25d3fd82cd0b0aba98d87d.png	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:50:02	270132/270132	---MCZ	200	added ('OK')	image/png	etag:%2241f34-592b35965e5e8-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/photos/e11a3b6520656fea015f1dcd848293b2.png	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/photos/e11a3b6520656fea015f1dcd848293b2.png	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:50:02	149233/149233	---MCZ	200	added ('OK')	image/png	etag:%22246f1-592b35527e256-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/models/b6840d246d8c1e8d6e286c93399b576b.png	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/models/b6840d246d8c1e8d6e286c93399b576b.png	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
21:50:03	148619/148619	---MCZ	200	added ('OK')	image/png	etag:%222448b-592b35557dbc7-gzip%22	https://www.cosapiinmobiliaria.com.pe/uploads/projects/models/d35bc763e4462f63df58b4c65e1fc04d.png	/home/slim/websites/Cosapi/www.cosapiinmobiliaria.com.pe/uploads/projects/models/d35bc763e4462f63df58b4c65e1fc04d.png	(from https://www.cosapiinmobiliaria.com.pe/?gclid=Cj0KCQjwjOrtBRCcARIsAEq4rW6iTRpS3I_D5hyemMiAEuds-ebflylMbBro1BZOMReuWKgj5IyckzUaAlDhEALw_wcB)
